ID;Name;URL;Suggested URL;Link position;Has equal domain;Has Simple Suggested URL;URL to scrape
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/ams-content
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/ams-navigation
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/privatsphaere-einstellung
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/organisation/ueber-ams/datenschutzbestimmungen
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/arbeitsmarktdaten-und-medien
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/arbeitsmarktdaten-und-medien/medien
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/aktuelle-monatsdaten
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/header-bar
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/organisation/public-employment-service-austria
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/sitemap
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/organisation/ueber-ams/ams-richtlinien
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/organisation/ueber-ams/allgemeine-geschaeftsbedingungen
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/organisation/ueber-ams/impressum
000000001;STATISTIK AUSTRIA;http://www.statistik.at;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;https://www.ams.at/osterreichweit
