ID;Name;URL;Suggested URL;Link position;Has equal domain
000000016;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;https://edirc.repec.org/data/seegvad.html;9.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://statbel.fgov.be/en;0.0;1.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://en.wikipedia.org/wiki/Statistics_Belgium;1.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://www.statista.com/topics/2384/belgium/;2.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://ec.europa.eu/eurostat/web/ess/belgium/statistics;3.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://www.belgium.be/fr/economie/informations_economiques/statistiques;4.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://asylumineurope.org/reports/country/belgium/statistics;5.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://www.worldometers.info/world-population/belgium-population/;6.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://data.oecd.org/belgium.htm;7.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://tradingeconomics.com/belgium/unemployment-rate;8.0;0.0
000000020;Statistics Belgium;https://statbel.fgov.be;https://www.nbb.be/en/statistics;9.0;0.0
000000023;Statistics Belgium;;https://statbel.fgov.be/en;0.0;0.0
000000023;Statistics Belgium;;https://en.wikipedia.org/wiki/Statistics_Belgium;1.0;0.0
000000023;Statistics Belgium;;https://www.statista.com/topics/2384/belgium/;2.0;0.0
000000023;Statistics Belgium;;https://ec.europa.eu/eurostat/web/ess/belgium/statistics;3.0;0.0
000000023;Statistics Belgium;;https://www.belgium.be/fr/economie/informations_economiques/statistiques;4.0;0.0
000000023;Statistics Belgium;;https://asylumineurope.org/reports/country/belgium/statistics;5.0;0.0
000000023;Statistics Belgium;;https://www.worldometers.info/world-population/belgium-population/;6.0;0.0
000000023;Statistics Belgium;;https://data.oecd.org/belgium.htm;7.0;0.0
000000023;Statistics Belgium;;https://tradingeconomics.com/belgium/unemployment-rate;8.0;0.0
000000023;Statistics Belgium;;https://www.nbb.be/en/statistics;9.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://www.destatis.de/EN/Home/_node.html;0.0;1.0
