Has equal domain;ID;Link position;Name;Suggested URL;URL
0.0;000000005;2.0;STATISTIK AUSTRIA;http://www.statistik-austria.at/;
0.0;000000005;3.0;STATISTIK AUSTRIA;https://www.alexa.com/siteinfo/statistik-austria.at;
0.0;000000005;4.0;STATISTIK AUSTRIA;https://en.wikipedia.org/wiki/States_of_Austria;
0.0;000000005;5.0;STATISTIK AUSTRIA;https://www.genderportal.eu/organisations/bundesanstalt-statistik-osterreich-statistik-austria;
0.0;000000005;6.0;STATISTIK AUSTRIA;https://www.statista.com/topics/2419/austria/;
0.0;000000005;7.0;STATISTIK AUSTRIA;https://www.youtube.com/watch?v=jwz0EdNp3Vs;
0.0;000000005;8.0;STATISTIK AUSTRIA;https://www.facebook.com/pages/Statistik-Austria/138671859495195;
0.0;000000005;9.0;STATISTIK AUSTRIA;https://tradingeconomics.com/austria/consumer-price-index-cpi;
0.0;000000006;0.0;Institute of Statistics;https://imstat.org/;http://www.instat.gov.al
0.0;000000006;1.0;Institute of Statistics;https://instat.uplb.edu.ph/;http://www.instat.gov.al
0.0;000000006;2.0;Institute of Statistics;https://en.wikipedia.org/wiki/Paris_Institute_of_Statistics;http://www.instat.gov.al
1.0;000000006;3.0;Institute of Statistics;http://www.instat.gov.al/en/Home.aspx;http://www.instat.gov.al
0.0;000000006;4.0;Institute of Statistics;https://www.isical.ac.in/;http://www.instat.gov.al
0.0;000000006;5.0;Institute of Statistics;http://www.insse.ro/cms/en;http://www.instat.gov.al
0.0;000000006;6.0;Institute of Statistics;https://www.niss.org/;http://www.instat.gov.al
0.0;000000006;7.0;Institute of Statistics;https://www.statistics.com/;http://www.instat.gov.al
0.0;000000006;8.0;Institute of Statistics;https://www.rss.org.uk/;http://www.instat.gov.al
0.0;000000006;9.0;Institute of Statistics;https://www.istat.it/en/;http://www.instat.gov.al
0.0;000000007;0.0;Institute of Statistics;https://imstat.org/;
0.0;000000007;1.0;Institute of Statistics;https://instat.uplb.edu.ph/;
0.0;000000007;2.0;Institute of Statistics;https://en.wikipedia.org/wiki/Paris_Institute_of_Statistics;
0.0;000000007;3.0;Institute of Statistics;http://www.instat.gov.al/en/Home.aspx;
0.0;000000007;4.0;Institute of Statistics;https://www.isical.ac.in/;
0.0;000000007;5.0;Institute of Statistics;http://www.insse.ro/cms/en;
0.0;000000007;6.0;Institute of Statistics;https://www.niss.org/;
0.0;000000007;7.0;Institute of Statistics;https://www.statistics.com/;
0.0;000000007;8.0;Institute of Statistics;https://www.rss.org.uk/;
0.0;000000007;9.0;Institute of Statistics;https://www.istat.it/en/;
0.0;000000008;0.0;Institute of Statistics;https://imstat.org/;http://www.instat.gov.al
0.0;000000008;1.0;Institute of Statistics;https://instat.uplb.edu.ph/;http://www.instat.gov.al
0.0;000000008;2.0;Institute of Statistics;https://en.wikipedia.org/wiki/Paris_Institute_of_Statistics;http://www.instat.gov.al
1.0;000000008;3.0;Institute of Statistics;http://www.instat.gov.al/en/Home.aspx;http://www.instat.gov.al
0.0;000000008;4.0;Institute of Statistics;https://www.isical.ac.in/;http://www.instat.gov.al
0.0;000000008;5.0;Institute of Statistics;http://www.insse.ro/cms/en;http://www.instat.gov.al
0.0;000000008;6.0;Institute of Statistics;https://www.niss.org/;http://www.instat.gov.al
0.0;000000008;7.0;Institute of Statistics;https://www.statistics.com/;http://www.instat.gov.al
0.0;000000008;8.0;Institute of Statistics;https://www.rss.org.uk/;http://www.instat.gov.al
0.0;000000008;9.0;Institute of Statistics;https://www.istat.it/en/;http://www.instat.gov.al
0.0;000000009;0.0;Institute of Statistics;https://imstat.org/;http://www.instat.gov.al
0.0;000000009;1.0;Institute of Statistics;https://instat.uplb.edu.ph/;http://www.instat.gov.al
0.0;000000009;2.0;Institute of Statistics;https://en.wikipedia.org/wiki/Paris_Institute_of_Statistics;http://www.instat.gov.al
1.0;000000009;3.0;Institute of Statistics;http://www.instat.gov.al/en/Home.aspx;http://www.instat.gov.al
0.0;000000009;4.0;Institute of Statistics;https://www.isical.ac.in/;http://www.instat.gov.al
0.0;000000009;5.0;Institute of Statistics;http://www.insse.ro/cms/en;http://www.instat.gov.al
0.0;000000009;6.0;Institute of Statistics;https://www.niss.org/;http://www.instat.gov.al
0.0;000000009;7.0;Institute of Statistics;https://www.statistics.com/;http://www.instat.gov.al
0.0;000000009;8.0;Institute of Statistics;https://www.rss.org.uk/;http://www.instat.gov.al
0.0;000000009;9.0;Institute of Statistics;https://www.istat.it/en/;http://www.instat.gov.al
0.0;000000010;0.0;Institute of Statistics;https://imstat.org/;
0.0;000000010;1.0;Institute of Statistics;https://instat.uplb.edu.ph/;
0.0;000000010;2.0;Institute of Statistics;https://en.wikipedia.org/wiki/Paris_Institute_of_Statistics;
0.0;000000010;3.0;Institute of Statistics;http://www.instat.gov.al/en/Home.aspx;
0.0;000000010;4.0;Institute of Statistics;https://www.isical.ac.in/;
0.0;000000010;5.0;Institute of Statistics;http://www.insse.ro/cms/en;
0.0;000000010;6.0;Institute of Statistics;https://www.niss.org/;
0.0;000000010;7.0;Institute of Statistics;https://www.statistics.com/;
0.0;000000010;8.0;Institute of Statistics;https://www.rss.org.uk/;
0.0;000000010;9.0;Institute of Statistics;https://www.istat.it/en/;
1.0;000000011;0.0;Departament d´Estadística;https://www.estadistica.ad/;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000011;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000011;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;8.0;Departament d´Estadística;https://www.idescat.cat/;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000011;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000012;0.0;Departament d´Estadística;https://www.estadistica.ad/;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000012;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000012;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;8.0;Departament d´Estadística;https://www.idescat.cat/;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000012;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000013;0.0;Departament d´Estadística;https://www.estadistica.ad/;
0.0;000000013;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;
0.0;000000013;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;
0.0;000000013;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;
0.0;000000013;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;
0.0;000000013;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;
0.0;000000013;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;
0.0;000000013;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;
0.0;000000013;8.0;Departament d´Estadística;https://www.idescat.cat/;
0.0;000000013;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;
1.0;000000014;0.0;Departament d´Estadística;https://www.estadistica.ad/;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000014;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000014;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;8.0;Departament d´Estadística;https://www.idescat.cat/;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000014;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;https://www.estadistica.ad/serveiestudis/web/index.asp
