Black list URLs
abcnews.bg
baq.kz
bcc.bg
bezplatno.net
bgfirms.info
bgproizvoditel.com
bgrabotodatel.com
bgregistar.com
bgstart.net
bia-bg.com
bivol.bg
biznes-bulgaria.com
biznes-catalog.com
biznes-katalog.com
biznes-spravka.com
bizneslist.com
blitz.bg
btcatalogue.bg
business.bg
catalog.bg
cks.bg
dnevnik.bg
econ.bg
eufunds.bg
facebook.com
firma.bg
genderportal.eu
glassdoor.com
goldenpages.bg
google.com
government.bg
grabo.bg
grabvai.com
inegi.org.mx
info-register.com
infobel.bg
infomreja.bg
informator.bg
investor.bg
jobs.bg
jobtiger.bg
kartasofia.com
korektnafirma.com
linkedin.com
nacionalen-biznes.com
official-portal.com
online-registri.com
osnatpk.com
papagal.bg
pisar.bg
playbookmaker.ru
referatite.org
registarnastroitelstvoto.com
stroiteli-bg.com
stroitelstvoto.bg
subscribe.ru
torrent
tpkunion.com
twitter.com
uniontpk.com
wikimapia.org
wikipedia.org
www.nav.bg
www.speedy.bg
yellowpages.bg
youtube.com
zaplata.bg
zdraveopazvaneto.bg
zemedelieto.bg
борса.bg
